GAME_ID,HOME_TEAM_ID,VISITOR_TEAM_ID,PTS_home,PTS_away
22200477,1610612740,1610612759,126.0,117.0
22200478,1610612762,1610612764,120.0,112.0
22200466,1610612739,1610612749,114.0,106.0
22200467,1610612755,1610612765,113.0,93.0
22200468,1610612737,1610612741,108.0,110.0
22200469,1610612738,1610612754,112.0,117.0
22200470,1610612751,1610612744,143.0,113.0
22200471,1610612752,1610612761,106.0,113.0
22200472,1610612745,1610612753,110.0,116.0
22200473,1610612750,1610612742,99.0,104.0
22200474,1610612760,1610612757,101.0,98.0
22200475,1610612758,1610612747,134.0,120.0
22200476,1610612746,1610612766,126.0,105.0
22200461,1610612765,1610612762,111.0,126.0
22200462,1610612748,1610612741,103.0,113.0
22200463,1610612752,1610612744,132.0,94.0
22200464,1610612756,1610612764,110.0,113.0
22200465,1610612743,1610612763,105.0,91.0
22200452,1610612739,1610612762,122.0,99.0
22200453,1610612755,1610612761,104.0,101.0
22200454,1610612737,1610612753,126.0,125.0
22200455,1610612745,1610612759,105.0,124.0
22200456,1610612750,1610612742,116.0,106.0
22200457,1610612740,1610612749,119.0,128.0
22200458,1610612760,1610612757,123.0,121.0
22200459,1610612756,1610612747,130.0,104.0
22200460,1610612758,1610612766,119.0,125.0
22200445,1610612738,1610612753,92.0,95.0
22200446,1610612754,1610612752,106.0,109.0
22200447,1610612765,1610612751,121.0,124.0
22200448,1610612761,1610612744,110.0,126.0
22200449,1610612750,1610612741,150.0,126.0
22200450,1610612743,1610612766,119.0,115.0
22200451,1610612747,1610612764,119.0,117.0
22200438,1610612746,1610612764,102.0,93.0
22200439,1610612759,1610612748,101.0,111.0
22200440,1610612739,1610612742,100.0,99.0
22200441,1610612745,1610612757,95.0,107.0
22200442,1610612749,1610612762,123.0,97.0
22200443,1610612760,1610612763,115.0,109.0
22200444,1610612756,1610612740,118.0,114.0
22200428,1610612766,1610612737,106.0,125.0
22200429,1610612765,1610612758,113.0,122.0
22200430,1610612738,1610612753,109.0,117.0
22200431,1610612739,1610612754,118.0,112.0
22200432,1610612755,1610612744,118.0,106.0
22200433,1610612761,1610612751,116.0,119.0
22200434,1610612741,1610612752,91.0,114.0
22200435,1610612760,1610612750,110.0,112.0
22200436,1610612742,1610612757,130.0,110.0
22200437,1610612747,1610612743,126.0,108.0
22200424,1610612745,1610612748,108.0,111.0
22200425,1610612763,1610612749,142.0,101.0
22200426,1610612762,1610612740,132.0,129.0
22200427,1610612746,1610612756,95.0,111.0
22200414,1610612766,1610612765,134.0,141.0
22200415,1610612754,1610612744,125.0,119.0
22200416,1610612753,1610612737,135.0,124.0
22200417,1610612761,1610612758,123.0,124.0
22200418,1610612741,1610612752,120.0,128.0
22200419,1610612760,1610612748,108.0,110.0
22200420,1610612759,1610612757,112.0,128.0
22200421,1610612742,1610612739,90.0,105.0
22200422,1610612743,1610612764,141.0,128.0
22200423,1610612746,1610612750,99.0,88.0
22200409,1610612755,1610612758,123.0,103.0
22200410,1610612749,1610612744,128.0,111.0
22200411,1610612745,1610612756,111.0,97.0
22200412,1610612762,1610612740,121.0,100.0
22200413,1610612747,1610612738,118.0,122.0
22200402,1610612754,1610612748,82.0,87.0
22200403,1610612764,1610612751,100.0,112.0
22200404,1610612763,1610612737,128.0,103.0
22200405,1610612742,1610612760,121.0,114.0
22200406,1610612759,1610612739,112.0,111.0
22200407,1610612757,1610612750,133.0,112.0
22200408,1610612746,1610612738,113.0,93.0
22200395,1610612740,1610612756,129.0,124.0
22200396,1610612765,1610612747,117.0,124.0
22200397,1610612752,1610612758,112.0,99.0
22200398,1610612753,1610612761,111.0,99.0
22200399,1610612755,1610612766,131.0,113.0
22200400,1610612737,1610612741,123.0,122.0
22200401,1610612745,1610612749,97.0,92.0
22200387,1610612748,1610612759,111.0,115.0
22200388,1610612754,1610612751,133.0,136.0
22200389,1610612764,1610612746,107.0,114.0
22200390,1610612739,1610612760,110.0,102.0
22200391,1610612741,1610612742,144.0,115.0
22200392,1610612744,1610612738,123.0,107.0
22200393,1610612743,1610612762,115.0,110.0
22200394,1610612757,1610612750,124.0,118.0
22200377,1610612766,1610612752,102.0,121.0
22200378,1610612754,1610612764,121.0,111.0
22200379,1610612753,1610612761,113.0,109.0
22200380,1610612751,1610612737,120.0,116.0
22200381,1610612739,1610612758,95.0,106.0
22200382,1610612755,1610612747,133.0,122.0
22200383,1610612763,1610612765,114.0,103.0
22200384,1610612740,1610612756,128.0,117.0
22200385,1610612762,1610612750,108.0,118.0
22200386,1610612742,1610612749,105.0,106.0
22200374,1610612748,1610612746,115.0,110.0
22200375,1610612759,1610612745,118.0,109.0
22200376,1610612757,1610612743,120.0,121.0
22200363,1610612753,1610612746,116.0,111.0
22200364,1610612751,1610612766,122.0,116.0
22200365,1610612752,1610612737,113.0,89.0
22200366,1610612761,1610612747,126.0,113.0
22200367,1610612741,1610612764,115.0,111.0
22200368,1610612763,1610612760,123.0,102.0
22200369,1610612749,1610612758,126.0,113.0
22200370,1610612750,1610612754,121.0,115.0
22200371,1610612740,1610612765,104.0,98.0
22200372,1610612762,1610612744,124.0,123.0
22200373,1610612756,1610612738,98.0,125.0
22200360,1610612739,1610612747,116.0,102.0
22200361,1610612748,1610612765,96.0,116.0
22200362,1610612743,1610612742,115.0,116.0
22200352,1610612766,1610612746,117.0,119.0
22200353,1610612753,1610612749,102.0,109.0
22200354,1610612737,1610612760,114.0,121.0
22200355,1610612761,1610612738,110.0,116.0
22200356,1610612745,1610612755,132.0,123.0
22200357,1610612763,1610612748,101.0,93.0
22200358,1610612742,1610612756,130.0,111.0
22200359,1610612744,1610612754,104.0,112.0
22200344,1610612740,1610612743,121.0,106.0
22200345,1610612759,1610612756,95.0,133.0
22200346,1610612751,1610612738,92.0,103.0
22200347,1610612765,1610612763,112.0,122.0
22200348,1610612752,1610612739,92.0,81.0
22200349,1610612764,1610612747,119.0,130.0
22200350,1610612758,1610612741,110.0,101.0
22200351,1610612757,1610612754,116.0,100.0
22200337,1610612752,1610612742,100.0,121.0
22200338,1610612746,1610612758,96.0,123.0
22200339,1610612766,1610612749,96.0,105.0
22200340,1610612761,1610612753,121.0,108.0
22200341,1610612750,1610612760,128.0,135.0
22200342,1610612744,1610612745,120.0,101.0
22200343,1610612762,1610612757,111.0,116.0
22200326,1610612766,1610612764,117.0,116.0
22200327,1610612737,1610612743,117.0,109.0
22200328,1610612738,1610612748,116.0,120.0
22200329,1610612751,1610612761,114.0,105.0
22200330,1610612739,1610612753,107.0,96.0
22200331,1610612749,1610612747,129.0,133.0
22200332,1610612763,1610612755,117.0,109.0
22200333,1610612759,1610612740,99.0,117.0
22200334,1610612756,1610612745,121.0,122.0
22200335,1610612762,1610612754,139.0,119.0
22200336,1610612744,1610612741,119.0,111.0
22200325,1610612765,1610612742,131.0,125.0
22200312,1610612739,1610612755,113.0,85.0
22200313,1610612753,1610612737,108.0,125.0
22200314,1610612738,1610612748,134.0,121.0
22200315,1610612751,1610612764,113.0,107.0
22200316,1610612752,1610612749,103.0,109.0
22200317,1610612750,1610612763,109.0,101.0
22200318,1610612740,1610612761,126.0,108.0
22200319,1610612760,1610612759,119.0,111.0
22200320,1610612743,1610612745,120.0,100.0
22200321,1610612756,1610612741,132.0,113.0
22200322,1610612762,1610612746,125.0,112.0
22200323,1610612758,1610612754,137.0,114.0
22200324,1610612747,1610612757,128.0,109.0
22200309,1610612765,1610612752,110.0,140.0
22200310,1610612742,1610612744,116.0,113.0
22200311,1610612757,1610612746,112.0,118.0
22200299,1610612755,1610612737,104.0,101.0
22200300,1610612764,1610612750,142.0,127.0
22200301,1610612738,1610612766,140.0,105.0
22200302,1610612751,1610612753,109.0,102.0
22200303,1610612761,1610612739,100.0,88.0
22200304,1610612740,1610612760,105.0,101.0
22200305,1610612743,1610612745,129.0,113.0
22200306,1610612762,1610612741,107.0,114.0
22200307,1610612758,1610612756,117.0,122.0
22200308,1610612747,1610612754,115.0,116.0
22200290,1610612751,1610612757,111.0,97.0
22200291,1610612750,1610612744,114.0,137.0
22200292,1610612746,1610612754,114.0,100.0
22200293,1610612737,1610612748,98.0,106.0
22200294,1610612738,1610612764,130.0,121.0
22200295,1610612765,1610612739,94.0,102.0
22200296,1610612752,1610612763,123.0,127.0
22200297,1610612753,1610612755,103.0,133.0
22200298,1610612749,1610612742,124.0,115.0
22200286,1610612761,1610612742,105.0,100.0
22200287,1610612745,1610612760,118.0,105.0
22200288,1610612759,1610612747,138.0,143.0
22200289,1610612756,1610612762,113.0,112.0
22200272,1610612766,1610612750,110.0,108.0
22200273,1610612753,1610612755,99.0,107.0
22200274,1610612752,1610612757,129.0,132.0
22200275,1610612738,1610612758,122.0,104.0
22200276,1610612754,1610612751,128.0,117.0
22200277,1610612748,1610612764,110.0,107.0
22200278,1610612745,1610612737,128.0,122.0
22200279,1610612763,1610612740,132.0,111.0
22200280,1610612749,1610612739,117.0,102.0
22200281,1610612760,1610612741,123.0,119.0
22200282,1610612759,1610612747,94.0,105.0
22200283,1610612756,1610612765,108.0,102.0
22200284,1610612744,1610612762,129.0,118.0
22200285,1610612746,1610612743,104.0,114.0
22200260,1610612766,1610612755,107.0,101.0
22200261,1610612739,1610612757,114.0,96.0
22200262,1610612754,1610612750,101.0,115.0
22200263,1610612737,1610612758,115.0,106.0
22200264,1610612738,1610612742,125.0,112.0
22200265,1610612748,1610612764,113.0,105.0
22200266,1610612761,1610612751,98.0,112.0
22200267,1610612749,1610612741,113.0,118.0
22200268,1610612760,1610612743,126.0,131.0
22200269,1610612759,1610612740,110.0,129.0
22200270,1610612762,1610612765,116.0,125.0
22200271,1610612744,1610612746,124.0,107.0
22200256,1610612755,1610612751,115.0,106.0
22200257,1610612763,1610612758,109.0,113.0
22200258,1610612743,1610612765,108.0,110.0
22200259,1610612756,1610612747,115.0,105.0
22200248,1610612739,1610612737,114.0,102.0
22200249,1610612754,1610612753,123.0,102.0
22200250,1610612741,1610612738,121.0,107.0
22200251,1610612749,1610612757,119.0,111.0
22200252,1610612750,1610612748,105.0,101.0
22200253,1610612740,1610612744,128.0,83.0
22200254,1610612760,1610612752,119.0,129.0
22200255,1610612746,1610612762,121.0,114.0
22200240,1610612756,1610612752,116.0,95.0
22200241,1610612764,1610612766,106.0,102.0
22200242,1610612758,1610612765,137.0,129.0
22200243,1610612751,1610612763,127.0,115.0
22200244,1610612739,1610612748,113.0,87.0
22200245,1610612745,1610612744,120.0,127.0
22200246,1610612742,1610612743,97.0,98.0
22200247,1610612747,1610612759,123.0,92.0
22200235,1610612737,1610612761,124.0,122.0
22200237,1610612755,1610612750,109.0,112.0
22200238,1610612757,1610612762,113.0,118.0
22200239,1610612746,1610612759,119.0,97.0
22200224,1610612764,1610612748,107.0,106.0
22200225,1610612739,1610612766,132.0,122.0
22200226,1610612755,1610612749,110.0,102.0
22200227,1610612741,1610612753,107.0,108.0
22200228,1610612745,1610612754,91.0,99.0
22200229,1610612763,1610612760,121.0,110.0
22200230,1610612742,1610612743,127.0,99.0
22200231,1610612740,1610612738,109.0,117.0
22200232,1610612762,1610612756,134.0,133.0
22200233,1610612744,1610612752,111.0,101.0
22200234,1610612747,1610612765,128.0,121.0
22200221,1610612757,1610612751,107.0,109.0
22200222,1610612758,1610612759,130.0,112.0
22200223,1610612746,1610612765,96.0,91.0
22200211,1610612766,1610612754,113.0,125.0
22200212,1610612753,1610612750,108.0,126.0
22200213,1610612764,1610612760,120.0,121.0
22200214,1610612737,1610612738,101.0,126.0
22200215,1610612761,1610612748,112.0,104.0
22200216,1610612749,1610612739,113.0,98.0
22200217,1610612740,1610612741,124.0,110.0
22200218,1610612742,1610612745,92.0,101.0
22200219,1610612743,1610612752,103.0,106.0
22200220,1610612756,1610612744,130.0,119.0
22200206,1610612740,1610612763,113.0,102.0
22200207,1610612742,1610612746,103.0,101.0
22200208,1610612762,1610612752,111.0,118.0
22200209,1610612757,1610612759,117.0,110.0
22200210,1610612758,1610612751,153.0,121.0
22200199,1610612765,1610612761,111.0,115.0
22200200,1610612753,1610612766,105.0,112.0
22200201,1610612738,1610612760,126.0,122.0
22200202,1610612748,1610612756,113.0,112.0
22200203,1610612745,1610612746,106.0,122.0
22200204,1610612749,1610612737,106.0,121.0
22200205,1610612744,1610612759,132.0,95.0
22200192,1610612752,1610612760,135.0,145.0
22200193,1610612739,1610612750,124.0,129.0
22200194,1610612764,1610612763,102.0,92.0
22200195,1610612755,1610612762,105.0,98.0
22200196,1610612741,1610612743,103.0,126.0
22200197,1610612758,1610612744,122.0,115.0
22200198,1610612747,1610612751,116.0,103.0
22200184,1610612746,1610612751,95.0,110.0
22200185,1610612764,1610612762,121.0,112.0
22200186,1610612765,1610612738,108.0,117.0
22200187,1610612754,1610612761,118.0,104.0
22200188,1610612755,1610612737,121.0,109.0
22200189,1610612748,1610612766,132.0,115.0
22200190,1610612742,1610612757,117.0,112.0
22200191,1610612740,1610612745,119.0,106.0
22200176,1610612738,1610612743,131.0,112.0
22200177,1610612753,1610612756,114.0,97.0
22200178,1610612752,1610612765,121.0,112.0
22200179,1610612760,1610612761,132.0,113.0
22200180,1610612759,1610612749,111.0,93.0
22200181,1610612763,1610612750,114.0,103.0
22200182,1610612744,1610612739,106.0,101.0
22200183,1610612747,1610612758,114.0,120.0
22200172,1610612764,1610612742,113.0,105.0
22200173,1610612737,1610612755,104.0,95.0
22200174,1610612748,1610612766,117.0,112.0
22200175,1610612740,1610612757,95.0,106.0
22200161,1610612753,1610612742,94.0,87.0
22200159,1610612766,1610612757,95.0,105.0
22200160,1610612754,1610612743,119.0,122.0
22200162,1610612737,1610612762,119.0,125.0
22200163,1610612738,1610612765,128.0,112.0
22200164,1610612751,1610612752,112.0,85.0
22200165,1610612761,1610612745,116.0,109.0
22200166,1610612741,1610612740,111.0,115.0
22200167,1610612750,1610612756,117.0,129.0
22200168,1610612760,1610612749,132.0,136.0
22200169,1610612759,1610612763,122.0,124.0
22200170,1610612746,1610612747,114.0,101.0
22200171,1610612758,1610612739,127.0,120.0
22200144,1610612766,1610612764,100.0,108.0
22200145,1610612753,1610612745,127.0,134.0
22200146,1610612765,1610612760,112.0,103.0
22200147,1610612754,1610612740,129.0,122.0
22200148,1610612755,1610612756,100.0,88.0
22200149,1610612737,1610612749,117.0,98.0
22200150,1610612748,1610612757,107.0,110.0
22200151,1610612741,1610612761,111.0,97.0
22200152,1610612763,1610612738,106.0,109.0
22200153,1610612750,1610612752,107.0,120.0
22200154,1610612759,1610612743,109.0,115.0
22200155,1610612742,1610612751,96.0,94.0
22200156,1610612744,1610612758,116.0,113.0
22200157,1610612762,1610612747,139.0,116.0
22200158,1610612746,1610612739,119.0,117.0
22200140,1610612747,1610612739,100.0,114.0
22200141,1610612761,1610612741,113.0,104.0
22200142,1610612763,1610612764,103.0,97.0
22200143,1610612746,1610612762,102.0,110.0
22200132,1610612753,1610612758,123.0,126.0
22200133,1610612766,1610612751,94.0,98.0
22200134,1610612737,1610612740,124.0,121.0
22200135,1610612752,1610612738,118.0,133.0
22200136,1610612749,1610612760,108.0,94.0
22200137,1610612750,1610612745,129.0,117.0
22200138,1610612743,1610612759,126.0,101.0
22200139,1610612756,1610612757,102.0,82.0
22200120,1610612765,1610612739,88.0,112.0
22200121,1610612754,1610612748,101.0,99.0
22200122,1610612755,1610612752,104.0,106.0
22200123,1610612764,1610612751,86.0,128.0
22200124,1610612738,1610612741,123.0,119.0
22200125,1610612763,1610612766,130.0,99.0
22200126,1610612759,1610612746,106.0,113.0
22200127,1610612742,1610612761,111.0,110.0
22200128,1610612740,1610612744,114.0,105.0
22200129,1610612750,1610612749,102.0,115.0
22200130,1610612756,1610612757,106.0,108.0
22200131,1610612747,1610612762,116.0,130.0
22200118,1610612753,1610612744,130.0,129.0
22200119,1610612760,1610612743,110.0,122.0
22200108,1610612755,1610612764,111.0,121.0
22200107,1610612739,1610612738,114.0,113.0
22200109,1610612748,1610612758,110.0,107.0
22200110,1610612752,1610612737,99.0,112.0
22200111,1610612741,1610612766,106.0,88.0
22200112,1610612745,1610612746,101.0,109.0
22200113,1610612749,1610612765,116.0,91.0
22200114,1610612759,1610612761,100.0,143.0
22200115,1610612742,1610612762,103.0,100.0
22200116,1610612757,1610612763,106.0,111.0
22200117,1610612747,1610612740,120.0,117.0
22200103,1610612751,1610612741,99.0,108.0
22200104,1610612748,1610612744,116.0,109.0
22200105,1610612760,1610612753,116.0,108.0
22200106,1610612756,1610612750,116.0,107.0
22200096,1610612766,1610612758,108.0,115.0
22200097,1610612764,1610612755,111.0,118.0
22200098,1610612751,1610612754,116.0,109.0
22200099,1610612761,1610612737,139.0,109.0
22200100,1610612749,1610612765,110.0,108.0
22200101,1610612762,1610612763,121.0,105.0
22200102,1610612746,1610612745,95.0,93.0
22200088,1610612746,1610612740,91.0,112.0
22200089,1610612738,1610612764,112.0,94.0
22200090,1610612739,1610612752,121.0,108.0
22200091,1610612765,1610612744,128.0,114.0
22200092,1610612759,1610612750,107.0,98.0
22200093,1610612742,1610612753,114.0,105.0
22200094,1610612756,1610612745,124.0,109.0
22200095,1610612747,1610612743,121.0,110.0
22200081,1610612758,1610612748,119.0,113.0
22200082,1610612766,1610612744,120.0,113.0
22200083,1610612751,1610612754,116.0,125.0
22200084,1610612741,1610612755,109.0,114.0
22200085,1610612749,1610612737,123.0,115.0
22200086,1610612742,1610612760,111.0,117.0
22200087,1610612762,1610612763,124.0,123.0
22200070,1610612765,1610612737,112.0,136.0
22200071,1610612753,1610612766,113.0,93.0
22200072,1610612738,1610612739,123.0,132.0
22200073,1610612761,1610612755,90.0,112.0
22200074,1610612764,1610612754,117.0,127.0
22200075,1610612749,1610612752,119.0,108.0
22200076,1610612750,1610612747,111.0,102.0
22200077,1610612759,1610612741,129.0,124.0
22200078,1610612743,1610612762,117.0,101.0
22200079,1610612756,1610612740,124.0,111.0
22200080,1610612757,1610612745,125.0,111.0
22200066,1610612751,1610612742,125.0,129.0
22200067,1610612760,1610612746,118.0,110.0
22200068,1610612744,1610612748,123.0,110.0
22200069,1610612758,1610612763,110.0,125.0
22200056,1610612739,1610612753,103.0,92.0
22200057,1610612765,1610612737,113.0,118.0
22200058,1610612752,1610612766,134.0,131.0
22200059,1610612761,1610612755,119.0,109.0
22200060,1610612749,1610612751,110.0,99.0
22200061,1610612741,1610612754,124.0,109.0
22200062,1610612750,1610612759,134.0,122.0
22200063,1610612762,1610612745,109.0,101.0
22200064,1610612743,1610612747,110.0,99.0
22200065,1610612757,1610612748,98.0,119.0
22200052,1610612764,1610612765,120.0,99.0
22200053,1610612740,1610612742,113.0,111.0
22200054,1610612760,1610612746,108.0,94.0
22200055,1610612756,1610612744,134.0,105.0
22200044,1610612755,1610612754,120.0,106.0
22200045,1610612748,1610612761,90.0,98.0
22200046,1610612752,1610612753,115.0,102.0
22200047,1610612741,1610612738,120.0,102.0
22200048,1610612745,1610612762,114.0,108.0
22200049,1610612763,1610612751,134.0,124.0
22200050,1610612750,1610612759,106.0,115.0
22200051,1610612757,1610612743,135.0,110.0
22200037,1610612747,1610612757,104.0,106.0
22200038,1610612737,1610612766,109.0,126.0
22200039,1610612739,1610612764,117.0,107.0
22200040,1610612740,1610612762,121.0,122.0
22200041,1610612760,1610612750,106.0,116.0
22200042,1610612744,1610612758,130.0,125.0
22200043,1610612746,1610612756,95.0,112.0
22200028,1610612755,1610612759,105.0,114.0
22200029,1610612754,1610612765,124.0,115.0
22200030,1610612753,1610612738,120.0,126.0
